"id","created_at","text","retweet_count","favorite_count"
"1220392110337265664","2020-01-23 17:05:27","RT @GadiTaub1: מילא שהאופציות הן ימין-חרדים או שמאל-ערבים.  זה נכון, אבל זה לא לב העניין.   לב העניין הוא שהאופציות הן ימין או שלטון המשפטנ…","5","0"
"1220391724540997633","2020-01-23 17:03:55","@Mike_Pence Thank you! Powerful speech! ","2","4"
"1220388295168970754","2020-01-23 16:50:17","@AvigdorLiberman צייצת אתזה מתוך החדר בבבילון עם שלאף?","7","98"
"1220369884917440513","2020-01-23 15:37:08","RT @doko2015: איני יכול עוד...‍♂️","5","0"
"1220369522449960960","2020-01-23 15:35:42","RT @ErezZadok1: מכין פתיח לתוכנית שלי עוד מעט, על הזלזול הבוטה והגס של פוליטיקאים בכספי ציבור, ונזכר בארוחה שלבני עשתה לפעילי קדימה ב-57 אל…","11","0"
"1220359962402131968","2020-01-23 14:57:42","RT @jacobkornbluh: Hot mic: In chat at start of World Holocaust Forum, Pence and Bibi chat about impeachment. “We are contending. He’s unst…","1372","0"
"1220353432541892608","2020-01-23 14:31:46","*לכל מי ששלח לי שאתה בפרטי למה לא ביחד התמונה שלי ושל אבנר. הוא הגיע אחרי שאני הלכתי כבר","0","126"
"1220348267009015809","2020-01-23 14:11:14","RT @arikbender: כשתמר איש שלום הציגה את הדובר הבא, נשיא צרפת מקרון, היא ציינה את הרזיסטנס, המחתרת הנאצית שנאבקה בגרמנים. אף מילה על כך שבצר…","11","0"
"1220345595249950720","2020-01-23 14:00:37"," https://t.co/vhckcXhb3J","12","365"
"1220343639034998785","2020-01-23 13:52:51","RT @mosheifargan: איך אישרו מכירה של ישות ששוקלים להעמידה לדין? ביחס למו""ל ידיעות אחרונות, הרי ככל הידוע הוא עדיין ממשיך בתפקידו, ואת העביר…","9","0"
"1220343530951979009","2020-01-23 13:52:25","Thank you @VP for your beautiful Zionist speech today in Jerusalem! ","39","274"
"1220342055806869505","2020-01-23 13:46:33","RT @akibigman: בהמשך לתשובה המאלפת שקיבל @michael_dvorin ממשרד המשפטים בנוגע לאי ההעמדה לדין של התאגידים בתיקי נתניהו, ביקשתי אם אפשר אזכור…","29","0"
"1220338176310550528","2020-01-23 13:31:08","RT @tamnuniter: ממש התחרפנו! רק בגלל ביקור של כל מנהיגי העולם בישראל, להסית למשך חצי יום את כל הפוקוס של התקשורת הישראלית מהאירוע החשוב ביו…","4","0"
"1220317113459585024","2020-01-23 12:07:26","RT @realEliHazan: אז זהו. הצונאמי המדיני המופרך התחלף בל""מה חוסמים את הכביש למנהיגי העולם"" המנותק? מה שנקרא, מהזיוף לאווילות.","9","0"
"1220302974695636992","2020-01-23 11:11:15","RT @AllOftheTruthIS: קשה לי להבין את עומק הכשל של המינויים הצבאיים שהביאו את המטורלל הזה עד לתפקיד ס. הרמטכ""ל.  אגב, למטורלל שמינה אותה קור…","4","0"
"1220302329368514573","2020-01-23 11:08:42","RT @rothmar: הנקודה המעניינת היא שלצורך הגשת כתב אישום נגד ראש הממשלה נדרש אישור היועץ המשפטי לממשלה, אבל הגשת כתב אישום נגד התאגידים יכולה…","45","0"
"1220302287442268161","2020-01-23 11:08:32","RT @netanelgla: שומע את המנטרה, נתניהו מפלג, נתניהו מסית, מתבונן בריצת אמוק הזאת להאשים את נתניהו בהכל ושואל, אולי תעצרו לחצי שניה, אולי הפ…","23","0"
"1220296756296060929","2020-01-23 10:46:33","RT @Onetruth011: תמונה שמסבירה ואומרת הכל.  רוה""מ נתניהו הוא מנהיג נדיר שמגיע אחת לכמה דורות... לראות את כל בכירי העולם סביבו והרצון שלהם ל…","31","0"
"1220296560921235457","2020-01-23 10:45:46","@nava_boker המקום ינחם אותך יהיה זכרה ברוך","0","35"
"1220287160168919040","2020-01-23 10:08:25","RT @0404news: גורמים בשלכת רה״מ: ״ההתקדמות המשמעותית בעניין נעמה - בזכות היחסים האישיים בין רה״מ לפוטין״ https://t.co/CYpcMCBFn9","10","0"
"1220263126832164865","2020-01-23 08:32:55","Welcome to Israel, president of Russia, Vladimir Putin!   Уважаемый Президент Российской Федерации Владимир Вла… https://t.co/pzXZ7IbzoN","81","957"
"1220251934239707138","2020-01-23 07:48:26","RT @tadmorerez48: בוקר טוב. רק רציתי להבהיר שבני גנץ לא מגמגם. הוא עילג. עילג בדיבור ועילג במחשבה. פקק. ברירת מחדל. כדור שינה. איש משמים שא…","66","0"
"1220251535105499136","2020-01-23 07:46:51","RT @ErelSegal: הקטע שהם עושים מה שבא להם, משתינים מהמקפצה, משנים את הכללים תוך כדי תנועה ואנחנו פאפטס","14","0"
"1220251501056221184","2020-01-23 07:46:43","RT @giladzw: הבעיה אינה (רק) בגמגומים של גנץ, אלא במה שקורה בין גמגום אחד למשנהו - המסרים הריקים מתוכן בסוגיות הרות גורל, המשתנים בהתאם לצד…","12","0"
"1220237489388032000","2020-01-23 06:51:03","RT @haski_oren: חחחח נתקלתי בזה רק עכשיו. אוי איך המפלגה הזו מביאה 33 מנדטים? https://t.co/e2YWRMfpa2","47","0"
"1220237432756604930","2020-01-23 06:50:49","RT @netanelgla: אז אהוד ברק ש: קנה בחירות בעזרת העמותות של הזקנה בבית חולים קיבל 2.7 מילון דולר מקרן וקסנר על מחקר שלא עשה לא החזיר חצי מיל…","29","0"
"1220236361845874688","2020-01-23 06:46:34","https://t.co/AZMEIumRlM","41","369"
"1220229217742397440","2020-01-23 06:18:10","RT @rothmar: תשובת היועץ המשפטי לממשלה בעניין ההעמדה לדין של התאגידים המעורבים בתיקי 2000 ו-4000 מבססת טיעון רציני ביותר לדיוני החסינות של…","50","0"
"1220105926931337219","2020-01-22 22:08:16","RT @vivimo0: עסקת יד 2 והרי העד אילן ישועה קיבל בונוס של כ - 12 מליון ש""ח. בגין העסקה. איך ניתן לקבל בונוס מעסקה שהמדינה טוענת שהיא עסקת שו…","16","0"
"1220089771571187720","2020-01-22 21:04:04","RT @michael_dvorin: והנה הגדלתי לכם בשקל תשעים. פניה של האכיפה הבררנית בשיא כיעורם. רוצים הוכחה שתפרו תיק למידותיו של נתניהו בבקשה. שחור על…","29","0"
"1220089481719619585","2020-01-22 21:02:55"," https://t.co/p8QBfRUzCZ","26","449"
"1220086237870141441","2020-01-22 20:50:01","RT @michael_dvorin: ובכנות זה מתסכל.  כי זה הכי רחוק שיש משלטון חוק. הם מגדילים ומקטינים את השער ואם צריך עוקרים אותו, כך שלעולם לא תוכל לה…","45","0"
"1220084148481798150","2020-01-22 20:41:43","RT @ohana_israel: סיפוח? הצחקתם אותו.  זה מה שקורה שגנץ מדבר ברור⬇️  גנץ. שמאל. חלש https://t.co/gXvgqB8UTQ","28","0"
"1220084008127815684","2020-01-22 20:41:10","RT @michael_dvorin: ולסיכום נושא התאגידים: היועמ""ש לא רוצה להרחיב את היריעה ולהעמיד לדין את התאגידים. הוא קיווה שנתניהו יסתלק כבר ולא יצטרך…","64","0"
"1220083220894580745","2020-01-22 20:38:02","RT @Onetruth011: היי @michael_dvorin  הינה דוגמא שבית המשפט חילט, תסביר לי את ההבדלים , מה שונה מוזס ובזק  מבני שטיינמץ או ענבל אור? https:…","3","0"
