selected_name,created_at,text,country,location,followers,friends,listed_count,favourites_count,verified,statuses_count,contributors_enabled,profile_image_url,
Long-Island-Portal,Thu Jan 23 15:31:06 +0000 2020,The Poll: Did you get a flu shot this season? https://t.co/7b6teQd6yH https://t.co/53ptbH5GcT,Australia,General,12333,8341,194,0,False,90838,False,http://pbs.twimg.com/profile_images/449164520154345472/hJHHHsa4_normal.jpeg,
Toto — Everything,Thu Jan 23 15:31:18 +0000 2020,@VodkaMuse You don't need to understand it respect everyone choices. I would not get the flu shot and I do get the… https://t.co/20zY1TBVXD,Australia,General,282,682,4,14487,False,1575,False,http://pbs.twimg.com/profile_images/1217859480634961926/PpN6AP7j_normal.jpg,
👁👅👁,Thu Jan 23 15:31:25 +0000 2020,@hazirah_razan omg go clinic pls. drink lots of water. get a flu shot. wash ur hands. drown urself in clorox.,Australia,General,16,31,0,138,False,554,False,http://pbs.twimg.com/profile_images/1213096363468058626/J_sZ3Nvi_normal.jpg,
Alex Theodoridis,Thu Jan 23 15:31:33 +0000 2020,Will translate this tomorrow. Mikael was devastated after the match understandably so but gave us some very intere… https://t.co/5kxZadhqAZ,Australia,Melbourne,2104,4694,49,7266,False,21495,False,http://pbs.twimg.com/profile_images/1147257219358101504/GOEJHlLg_normal.jpg,
Stevie Joe Payne,Thu Jan 23 15:31:33 +0000 2020,They just want to kill my wife and me and all of our age contemporaries. What's to understand?,United States,Bartlesville,7928,6760,9,69521,False,285820,False,http://pbs.twimg.com/profile_images/1214601742412894215/cHlQVRVT_normal.jpg,
I'm Him,Thu Jan 23 15:32:03 +0000 2020,RT @TcatMPS: Y’all remember when that black doctor that worked for the CDC whistleblew that the flu shot was the actual cause of influenza…,Australia,General,1112,563,62,5759,False,345845,False,http://pbs.twimg.com/profile_images/1210590124926537728/1VCrI8kA_normal.jpg,
Kateri,Thu Jan 23 15:32:24 +0000 2020,You know an article is bullshit when it starts out like this:“Doctors say they’re completely safe”#RiseUp… https://t.co/9HVA4QQk0I,Australia,General,2076,3123,6,47574,False,19826,False,http://pbs.twimg.com/profile_images/1144276762785976321/Kc3Utmdv_normal.jpg,
Sanctimonious_Sinner 😈🥀 [ONLYFANS],Thu Jan 23 15:32:28 +0000 2020,😈My Sanctuary of Sin 😈⚠️Subscriber incentives ⚠️⚠️Lucky Draws⚠️⚠️Hundreds of filth⚠️⚠️Constant uploads ⚠️‼️Sub… https://t.co/GBA8NUplIg,Australia,Brisbane,3617,532,10,10616,False,1126,False,http://pbs.twimg.com/profile_images/1219689189945438208/OwwOYfi5_normal.jpg,
Neikz22,Thu Jan 23 15:32:31 +0000 2020,@MLovetube Well thats 28secs ill not get back,Australia,Port Macquarie,157,997,2,3102,False,3502,False,http://pbs.twimg.com/profile_images/1210486596706811910/TLwtH3Z__normal.jpg,
Gneisha ♡,Thu Jan 23 15:32:33 +0000 2020,Holy SHIT speaking of vaccine misinformation someone taped flyers to the inside of the bathroom stall that are full… https://t.co/95qP6FCmuw,Australia,General,1483,240,56,90511,False,96964,False,http://pbs.twimg.com/profile_images/1216550627343552517/o81nZCqj_normal.jpg,
