selected_name,created_at,text,country,location,followers,friends,listed_count,favourites_count,verified,statuses_count,contributors_enabled,profile_image_url,
Aastha Srivastava,Fri Jan 17 19:25:50 +0000 2020,Today's episode was lit 🔥#BBshowusSidnaaz,India,Purba Muzaffarpur,20,22,0,1316,False,2125,False,http://pbs.twimg.com/profile_images/1210913871201886209/OqHUvDew_normal.jpg,
Mark Cappetta,Fri Jan 17 19:25:51 +0000 2020,A better flu shot could be on the horizon https://t.co/PHgfulgNfi via @UC_Newsroom,India,General,230,1131,8,2505,False,49575,False,http://pbs.twimg.com/profile_images/796032844778835968/PLlawaFI_normal.jpg,
Allen George,Fri Jan 17 19:25:51 +0000 2020,@royal_fighter00 @Infosys @Alisohrabfan @EmpoweringGoa @SaniaAhmad1111 @IndiasMuslims Nothing quality about this in… https://t.co/MX2ChGPeCG,India,Thane,53,152,0,1411,False,657,False,http://pbs.twimg.com/profile_images/947502623782985733/hACsiD2k_normal.jpg,
Rakesh Suri,Fri Jan 17 19:25:52 +0000 2020,@dipika_bajpai @AdityaRajKaul MUSLIM TERROR&amp; KASHMIRI PUNDIT GENOCIDE (MT)👉J&amp;K Bank P A Ahmed gave crores to J&amp;K… https://t.co/Yh4Iyg72tk,India,Gurgaon,20,43,0,405,False,2030,False,http://pbs.twimg.com/profile_images/1187067989784322048/yEogFj9d_normal.jpg,
Dr Brajanarayan Mohapatra,Fri Jan 17 19:25:52 +0000 2020,@Oneindia You are parroting your party voice and conveniently forgetting what was the real Hitler Raj in India duri… https://t.co/ldu3HRSL0m,India,Cuttack,201,1097,2,19478,False,37305,False,http://pbs.twimg.com/profile_images/1566568554/Image_124__normal.jpg,
Jamshaid Ali Chattha,Fri Jan 17 19:25:52 +0000 2020,Shaheen Promotion Group✨💯% FB List@Mshahid420🦅@BajiCl_✨@warraich_3@Binteakbar6@DrNaqash786 @syedArs512… https://t.co/aEYr8ToQPq,Pakistan,Punjab,648,742,0,1914,False,352,False,http://pbs.twimg.com/profile_images/1188005115472629760/am-liCuY_normal.jpg,
barbsss 🎈🎈,Fri Jan 17 19:25:52 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,India,General,231,112,0,8507,False,26082,False,http://pbs.twimg.com/profile_images/1185237880857190400/kCH40iCv_normal.jpg,
Hussain Rizvi,Fri Jan 17 19:25:53 +0000 2020,Me tooo 😂😂😂😂😂😂💯,Pakistan,Sindh,629,660,0,17400,False,5559,False,http://pbs.twimg.com/profile_images/1213560521527574529/jPXvEEEB_normal.jpg,
Sandeep Sharma,Fri Jan 17 19:25:54 +0000 2020,I support CAA I support BJP. Triumph of good (BJP) over evil (aap)#BJPWinningDelhi https://t.co/34bK4zi4Ji,India,Mumbai,11,34,0,820,False,493,False,http://pbs.twimg.com/profile_images/1216093962517139456/W2F0KS0q_normal.jpg,
Sharat Chandra Bhatt 🇮🇳,Fri Jan 17 19:25:55 +0000 2020,Congratulations India on a complete team performance in a 👏👏🏏🏏🇮🇳🇮🇳 . @SDhawan25 (96) @klrahul11 (80) @imVkohli (78)… https://t.co/HqBOQIaDFl,India,Rajkot,351,1328,7,54650,False,76432,False,http://pbs.twimg.com/profile_images/1209541578433298432/FpKT9lwd_normal.jpg,
Immunize Canada,Fri Jan 17 19:23:50 +0000 2020,RT @CPHO_Canada: Flu season isn’t over yet. Have you gotten your #flushot? It’s not too late. Find out where: https://t.co/5RjP8f4R3e https…,Israel,General,3224,835,93,6,False,18106,False,http://pbs.twimg.com/profile_images/1130911571331436549/1n9kmmSY_normal.png,
tala sunna,Fri Jan 17 19:23:55 +0000 2020,"Workout complete" The only words i love to hear 🙃,Hashemite Kingdom of Jordan,Karak,669,453,1,2574,False,2095,False,http://pbs.twimg.com/profile_images/1207360760801878016/D5Tro0yc_normal.jpg,
Dr. Nancy Messonnier,Fri Jan 17 19:24:01 +0000 2020,RT @CDCFlu: #FluFactFriday: If you have #heartdisease or have had a stroke it is especially important that you get #fluvaccine every flu s…,Israel,General,4823,856,117,660,True,4978,False,http://pbs.twimg.com/profile_images/927905454117871616/tfT1yF9D_normal.jpg,
Josue Medina,Fri Jan 17 19:24:05 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Israel,General,52,70,0,14211,False,6118,False,http://pbs.twimg.com/profile_images/1215098184046956544/bdfvjFgQ_normal.jpg,
HHSRegion8,Fri Jan 17 19:24:06 +0000 2020,RT @HHS_ASH: CDC estimates that so far this season there have been at least 13 million flu illnesses 120000 hospitalizations and 6600 de…,Israel,General,1771,625,43,2608,True,21629,False,http://pbs.twimg.com/profile_images/492074679255834624/DLA5L7aB_normal.jpeg,
zoe,Fri Jan 17 19:24:16 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Israel,General,201,191,0,6633,False,14041,False,http://pbs.twimg.com/profile_images/1215371706849587200/8r9PJSmk_normal.jpg,
J♡YA,Fri Jan 17 19:24:25 +0000 2020,Friday night💋 https://t.co/NEo3sMwzVK,Lebanon,Lebanon,1340,788,1,15925,False,5304,False,http://pbs.twimg.com/profile_images/1217800118340149249/7jEpWUhA_normal.jpg,
chEMdawg,Fri Jan 17 19:24:25 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Israel,General,278,631,0,17683,False,7280,False,http://pbs.twimg.com/profile_images/1157165975168356352/HjpG7X4D_normal.jpg,
Jamie,Fri Jan 17 19:24:32 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Israel,General,589,421,2,8631,False,3552,False,http://pbs.twimg.com/profile_images/1197220846382845952/MYKQtMb1_normal.jpg,
MTarleton81,Fri Jan 17 19:24:33 +0000 2020,@philipdmcavoy @WCPO I feel worse for you falling for the lies of Big Pharma despite the science proving flu shots are a huge failure.,Israel,General,141,422,2,3244,False,1777,False,http://pbs.twimg.com/profile_images/1197937798290059266/p3DXGLa3_normal.jpg,
Christina Schmidt,Fri Jan 17 19:24:55 +0000 2020,RT @med1cinewoman: The opposite would have been insane! People should not get fired for refusing unwanted medical procedure. Not to mention…,Japan,General,4130,2816,177,116837,False,161432,False,http://pbs.twimg.com/profile_images/1016114986765115392/WeWsK5mg_normal.jpg,
🌻Tina H,Fri Jan 17 19:25:02 +0000 2020,RT @Chena_Punim: Listen guys you can’t get the flu from the flu shot. Only “flu-like illness.” You can’t get the measles from the MMR onl…,Japan,General,357,430,1,3739,False,1780,False,http://pbs.twimg.com/profile_images/1122373809149857792/IoVZ3uwX_normal.jpg,
Bobby Jindal,Fri Jan 17 19:25:04 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Japan,General,12,29,0,4039,False,1749,False,http://pbs.twimg.com/profile_images/1187540729305980934/dNOa3PKN_normal.jpg,
trân 🏳️‍🌈,Fri Jan 17 19:25:05 +0000 2020,@SourPatchPar3nt Michael Bibi at the Sound Museum!,Japan,Suginami-ku,905,617,5,17518,False,56260,False,http://pbs.twimg.com/profile_images/1189043731065794562/VgYh57BP_normal.jpg,
Barry McCockiner,Fri Jan 17 19:25:07 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Japan,General,7,67,0,113,False,34,False,http://pbs.twimg.com/profile_images/1211453797702209537/pROXxLBE_normal.jpg,
Kariri,Fri Jan 17 19:25:10 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Japan,General,283,174,1,20770,False,7545,False,http://pbs.twimg.com/profile_images/1190659635977568258/19Pebo-3_normal.jpg,
Brian. 🐘🦧🦒🦚🦝,Fri Jan 17 19:25:10 +0000 2020,IM AFRAID TO ALERT YOU BUT YOUR Flu Shot is No Match for THIS INFLUENZA B Strain.,United States,Morgantown,4793,2914,93,45428,False,159451,False,http://pbs.twimg.com/profile_images/1197867783935156226/OE_SmFNe_normal.jpg,
💜♍️,Fri Jan 17 19:25:10 +0000 2020,It was only strep throat thank god I can get antibiotics 😭😭 I hate a “ let it run its course” ass doctor,Japan,General,1240,767,1,5979,False,6072,False,http://pbs.twimg.com/profile_images/1214011560621944832/qOrMgdus_normal.jpg,
Christina Schmidt,Fri Jan 17 19:25:15 +0000 2020,RT @BusyDrT: Global Vaccine Safety Summit https://t.co/q3czymIe55.  you have seen bits &amp;piece of this summit but wanted to share the link t…,Japan,General,4130,2816,177,116840,False,161434,False,http://pbs.twimg.com/profile_images/1016114986765115392/WeWsK5mg_normal.jpg,
Anthony,Fri Jan 17 19:25:27 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Japan,General,150,161,0,7500,False,3809,False,http://pbs.twimg.com/profile_images/1218203918292774912/ZMFa-Dqd_normal.jpg,
Christine(녹차크리스틴) 🍵😍 #우리뮤즈 🥰,Fri Jan 17 19:21:51 +0000 2020,@Amour_Ravi I mean when I go into your DMs you get exposed LMFAO,Canada,Calgary,850,1546,13,39603,False,15191,False,http://pbs.twimg.com/profile_images/1190655652823216128/OJRhfk-M_normal.jpg,
B E N D I T O 🇲🇽🐻,Fri Jan 17 19:21:51 +0000 2020,Daaaaamn boss man hooking us up w free tickets to a hockey game. Free parking. Free beer n tacos 🥺🥺🥺,United States,Utah,120,136,0,9190,False,5080,False,http://pbs.twimg.com/profile_images/1197038884934299648/-BP4LsMP_normal.jpg,
fat amy march,Fri Jan 17 19:21:51 +0000 2020,@PincheAndrew Ok ok AM but I haven't kept up with her as much as I should,Canada,Toronto,1137,992,38,92967,False,37105,False,http://pbs.twimg.com/profile_images/1058806535617437697/w3GZl8dH_normal.jpg,
