Immunize Canada,Fri Jan 17 19:23:50 +0000 2020,RT @CPHO_Canada: Flu season isn’t over yet. Have you gotten your #flushot? It’s not too late. Find out where: https://t.co/5RjP8f4R3e https…,Israel,General,3224,835,93,6,False,18106,False,http://pbs.twimg.com/profile_images/1130911571331436549/1n9kmmSY_normal.png,
tala sunna,Fri Jan 17 19:23:55 +0000 2020,"Workout complete" The only words i love to hear 🙃,Hashemite Kingdom of Jordan,Karak,669,453,1,2574,False,2095,False,http://pbs.twimg.com/profile_images/1207360760801878016/D5Tro0yc_normal.jpg,
Dr. Nancy Messonnier,Fri Jan 17 19:24:01 +0000 2020,RT @CDCFlu: #FluFactFriday: If you have #heartdisease or have had a stroke it is especially important that you get #fluvaccine every flu s…,Israel,General,4823,856,117,660,True,4978,False,http://pbs.twimg.com/profile_images/927905454117871616/tfT1yF9D_normal.jpg,
Josue Medina,Fri Jan 17 19:24:05 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Israel,General,52,70,0,14211,False,6118,False,http://pbs.twimg.com/profile_images/1215098184046956544/bdfvjFgQ_normal.jpg,
HHSRegion8,Fri Jan 17 19:24:06 +0000 2020,RT @HHS_ASH: CDC estimates that so far this season there have been at least 13 million flu illnesses 120000 hospitalizations and 6600 de…,Israel,General,1771,625,43,2608,True,21629,False,http://pbs.twimg.com/profile_images/492074679255834624/DLA5L7aB_normal.jpeg,
zoe,Fri Jan 17 19:24:16 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Israel,General,201,191,0,6633,False,14041,False,http://pbs.twimg.com/profile_images/1215371706849587200/8r9PJSmk_normal.jpg,
J♡YA,Fri Jan 17 19:24:25 +0000 2020,Friday night💋 https://t.co/NEo3sMwzVK,Lebanon,Lebanon,1340,788,1,15925,False,5304,False,http://pbs.twimg.com/profile_images/1217800118340149249/7jEpWUhA_normal.jpg,
chEMdawg,Fri Jan 17 19:24:25 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Israel,General,278,631,0,17683,False,7280,False,http://pbs.twimg.com/profile_images/1157165975168356352/HjpG7X4D_normal.jpg,
Jamie,Fri Jan 17 19:24:32 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Israel,General,589,421,2,8631,False,3552,False,http://pbs.twimg.com/profile_images/1197220846382845952/MYKQtMb1_normal.jpg,
MTarleton81,Fri Jan 17 19:24:33 +0000 2020,@philipdmcavoy @WCPO I feel worse for you falling for the lies of Big Pharma despite the science proving flu shots are a huge failure.,Israel,General,141,422,2,3244,False,1777,False,http://pbs.twimg.com/profile_images/1197937798290059266/p3DXGLa3_normal.jpg,
