Paul van der Linde,Fri Jan 17 19:28:07 +0000 2020,Model jangudde Messy hair? Don't care!#malemodel #hunk #dude #posing #boy #mooiboy #portfolio #modelling #cute… https://t.co/nEZRhq3qcc,Nederland,Apeldoorn,495,314,11,722,False,6349,False,http://pbs.twimg.com/profile_images/428773970054111232/-MqRYxHZ_normal.jpeg,
zxmbiegrrl VIBING,Fri Jan 17 19:28:15 +0000 2020,@DISTANTSTALK3R got a flu shot in my other arm that shit still hurts :(,Germany,General,1209,444,3,7106,False,3120,False,http://pbs.twimg.com/profile_images/1218044011589427200/O2Bw9nge_normal.jpg,
Furkan Dosdoğru,Fri Jan 17 19:28:19 +0000 2020,.@Microsoft makes 'carbon negative' pledge https://t.co/k4VMUCqLxX,Germany,Bonn,127,353,2,1426,False,349,False,http://pbs.twimg.com/profile_images/1175142796661022721/HtVDNQ7A_normal.jpg,
Virago_Virgo,Fri Jan 17 19:28:20 +0000 2020,🙏Kaylee Roberts 16 years old dies from flu after being given Tamiflu.https://t.co/CyW9wN2k8Y🙏Luca Calanni 11… https://t.co/lLROBTm51y,Germany,General,1898,1890,91,1444,False,22629,False,http://pbs.twimg.com/profile_images/1209316710848847874/68eJyegP_normal.jpg,
Cynthia Paul MD,Fri Jan 17 19:28:23 +0000 2020,@j_thePA Looking for quick weight loss? Try influenza A diet plan! This can work even with a flu shot AND tamiflu! -verified customer-,Germany,General,550,620,5,1178,False,496,False,http://pbs.twimg.com/profile_images/1102616752222060544/v1Uil8az_normal.jpg,
das dani,Fri Jan 17 19:28:26 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Germany,General,220,307,1,13090,False,3111,False,http://pbs.twimg.com/profile_images/1164615655850532865/eJwfeX6U_normal.jpg,
Santiago Gallardo,Fri Jan 17 19:28:26 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Germany,General,323,101,1,18619,False,32410,False,http://pbs.twimg.com/profile_images/1196730180108054528/uGsuh4gV_normal.jpg,
plant papa,Fri Jan 17 19:28:27 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Germany,General,214,278,1,36395,False,14697,False,http://pbs.twimg.com/profile_images/1165342433913081856/aeFmwGdG_normal.jpg,
ann 🍓,Fri Jan 17 19:28:27 +0000 2020,Just a reminder that #Mystrade could be.......like...this! https://t.co/YE06j83VBp,Germany,Berlin,795,51,15,9247,False,11120,False,http://pbs.twimg.com/profile_images/1197955612434456576/FWRxuJCk_normal.jpg,
jssart (Jess),Fri Jan 17 19:28:33 +0000 2020,@chipster22a @twitweeting She’s awesome she retweets Jeopardy a lot !,The Netherlands,Enschede,500,598,1,15915,False,7952,False,http://pbs.twimg.com/profile_images/1217006040409092096/A9gxgTI2_normal.jpg,
