selected_name,created_at,text,country,location,followers,friends,listed_count,favourites_count,verified,statuses_count,contributors_enabled,profile_image_url,
Khandaghabadi,Fri Jan 17 19:55:44 +0000 2020,This was revealing and scary but Im incredibly happy with it. Thank you @jbienkahn and @jachristian for spending th… https://t.co/I66wX8QkaB,United States,California,3113,862,46,26310,True,18472,False,http://pbs.twimg.com/profile_images/1211060469907066880/oIYPPx28_normal.jpg,
Ted Kim,Fri Jan 17 19:55:44 +0000 2020,““From the first the nation was already set on its course toward consumer culture’s counterfeit beatific vision i… https://t.co/hVe6lq4NRz,United States,Chicago,1280,264,22,1833,False,3465,False,http://pbs.twimg.com/profile_images/1199770407890571265/7ZWtFwxE_normal.jpg,
𝕻𝖆𝖙𝕻𝖆𝖙,Fri Jan 17 19:55:44 +0000 2020,eating ass @,United States,Buffalo Wild Wings,34,167,0,1866,False,380,False,http://pbs.twimg.com/profile_images/1216388264959074306/DeVEkQ0K_normal.jpg,
Hollowtiptahj👹,Fri Jan 17 19:55:44 +0000 2020,@xgabyv strong ass cheek bones,United States,Lakeland Heights,2136,1400,34,11862,False,17924,False,http://pbs.twimg.com/profile_images/1217238898591653889/9lLJwYoB_normal.jpg,
AshleyRNDM @ wherever the F I want.,Fri Jan 17 19:55:44 +0000 2020,Shoot me. A decade later my gf is still on the Team Edward vs. Team Jacob debate.,United States,Mesa,58,269,5,9283,False,6160,False,http://pbs.twimg.com/profile_images/750594596854521859/CudXSMM0_normal.jpg,
Hope Mills Middle Agriculture & FFA,Fri Jan 17 19:55:44 +0000 2020,Ending the week with a bang! 6th grade students making PSAs on saving our natural resources. What are some ways we… https://t.co/ePQgJ1emGI,United States,Hope Mills Middle School,23,65,0,31,False,14,False,http://pbs.twimg.com/profile_images/1204867393903661056/wDy47xhd_normal.jpg,
👿,Fri Jan 17 19:55:44 +0000 2020,Thug holding on to bangers 🤦🏽‍♂️,United States,Coral Springs,832,381,7,17380,False,25969,False,http://pbs.twimg.com/profile_images/1183749061159129088/7rVN19u5_normal.jpg,
Dumas Demonette Basketball,Fri Jan 17 19:55:44 +0000 2020,Come out and support your Demon and Demonette Basketball teams tonight as they take on Dalhart.4:30-Jv Girls Jv… https://t.co/qUZCtuOPCC,United States,Dumas,52,27,0,3,False,23,False,http://pbs.twimg.com/profile_images/1205325160422748163/_s2wpkJe_normal.jpg,
Bryan Crawford,Fri Jan 17 19:55:44 +0000 2020,Looking forward to seeing our @RBCCanadianOpen favorite rock band @TheGloriousSons tonight at the @townballroom in… https://t.co/hTXPrCEwW4,Canada,Hamilton,547,206,5,3189,False,758,False,http://pbs.twimg.com/profile_images/1040424037250486272/23nBcGWt_normal.jpg,
Richmond Paredes,Fri Jan 17 19:55:44 +0000 2020,Got accepted! Thank you Lord! 🙏🏻,Canada,Aurora,283,199,1,1824,False,18093,False,http://pbs.twimg.com/profile_images/1080151846684164097/-eUWtXUA_normal.jpg,
Penny,Fri Jan 17 19:55:44 +0000 2020,Lookin great Griffin!🤘🏻,United States,Sweetwater,175,396,0,15527,False,2588,False,http://pbs.twimg.com/profile_images/1168982391999873028/cQxOvUHv_normal.jpg,
Young Lew 🐗,Fri Jan 17 19:55:44 +0000 2020,I told her it’s BYOB!,United States,Houston,278,276,3,117796,False,8550,False,http://pbs.twimg.com/profile_images/1178842145475706881/db6OEo_H_normal.jpg,
Jackson McDonald,Fri Jan 17 19:55:44 +0000 2020,@Jonathan2_Rojas Good argument!,United States,Florida,317,123,0,1062,False,586,False,http://pbs.twimg.com/profile_images/1181069357461491712/EXaL1r3g_normal.jpg,
