selected_name,created_at,text,country,location,followers,friends,listed_count,favourites_count,verified,statuses_count,contributors_enabled,profile_image_url,
V,Fri Jan 17 19:36:17 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Argentina,General,200,276,0,6389,False,4531,False,http://pbs.twimg.com/profile_images/1156645791223517186/8EHF77lb_normal.jpg,
Niño,Fri Jan 17 19:36:21 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Argentina,General,95,77,0,5547,False,1740,False,http://pbs.twimg.com/profile_images/1217213186908262400/_fOnMHib_normal.jpg,
duwopdiego,Fri Jan 17 19:36:23 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Argentina,General,63,92,0,1180,False,2472,False,http://pbs.twimg.com/profile_images/1108383046808420353/ozmgrUOb_normal.jpg,
San Yon,Fri Jan 17 19:36:23 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Argentina,General,88,112,0,2009,False,342,False,http://pbs.twimg.com/profile_images/702946213977530368/Kio8XY75_normal.jpg,
dominic simon,Fri Jan 17 19:36:24 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Argentina,General,248,223,1,5269,False,2162,False,http://pbs.twimg.com/profile_images/1071476154215948290/32AWC-vn_normal.jpg,
shea butter 🌸,Fri Jan 17 19:36:29 +0000 2020,@6foot5nbearded Aht Aht flu shots are HORRIBLE,Argentina,General,2314,2176,2,2673,False,36708,False,http://pbs.twimg.com/profile_images/1211487921041227777/dgKGgVJN_normal.jpg,
Tumblus Exodus,Fri Jan 17 19:36:32 +0000 2020,RT @C2N2Se: Flu shot for a dirty boy. https://t.co/614Idb4Utb,Argentina,General,93,177,0,7566,False,3607,False,http://pbs.twimg.com/profile_images/1077022154909274112/csqVflOn_normal.jpg,
grace ☆,Fri Jan 17 19:36:32 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Argentina,General,257,329,0,7792,False,12772,False,http://pbs.twimg.com/profile_images/1211885062410637313/fZwcnHfM_normal.jpg,
gee gee,Fri Jan 17 19:36:57 +0000 2020,RT @Rectitude20: This Mom shares her story of how 14 hours after the flu vaccine her healthy vibrant little boy suddenly died. The pediatr…,Argentina,General,685,830,0,22127,False,6539,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,
Brazil Men,Fri Jan 17 19:37:02 +0000 2020,Jose 52 beach football sport walking travel/holidays other https://t.co/42nT2EkfGL,Brazil,Brazil,35,0,12,0,False,10795,False,http://pbs.twimg.com/profile_images/3393996551/bbb5770640bdd635e76300e2aac30237_normal.png,
Ricccaaaa Americanoooo,Fri Jan 17 19:34:59 +0000 2020,Tried Coxinha at the Columbia Cafe https://t.co/1TbegDojn1,Brazil,Cafelândia,161,133,0,1752,False,6757,False,http://pbs.twimg.com/profile_images/1206958694669471744/a3IDf_kB_normal.jpg,
Mr FluffandBounce,Fri Jan 17 19:35:00 +0000 2020,🗣Get your flu shots people! This past week in the hospital has been TERRIBLE,Brazil,General,700,562,4,3994,False,12213,False,http://pbs.twimg.com/profile_images/1197985295024709632/ygw3nFJH_normal.jpg,
Board of Pensions,Fri Jan 17 19:35:08 +0000 2020,#DYK: All three Medical Plan options (PPO EPO and HDHP) cover annual flu shots from network providers at 100%! Th… https://t.co/Pqxs9zvcuh,Brazil,General,2489,1011,30,1140,False,4272,False,http://pbs.twimg.com/profile_images/1135530764655898624/0AwBzOn6_normal.jpg,
perfettamente imperfetto,Fri Jan 17 19:35:09 +0000 2020,Objetivo de vida:                      *️⃣Ir a un Tomorrowland,Argentina,San Justo,113,464,0,1241,False,1748,False,http://pbs.twimg.com/profile_images/1187323824167096320/cg2YSgcd_normal.jpg,
CAMPANAR1❄️,Fri Jan 17 19:35:10 +0000 2020,Kill me! I'm scary maggot...,Brasil,Santa Isabel do Ivaí,162,1220,1,1471,False,482,False,http://pbs.twimg.com/profile_images/1185513139602890754/aEu82na__normal.jpg,
Agustín Champret,Fri Jan 17 19:35:11 +0000 2020,@Tebii144 Okey,Argentina,Córdoba,479,301,0,3244,False,2143,False,http://pbs.twimg.com/profile_images/1206396967699537921/djCDEfFk_normal.jpg,
